ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
699.7,273.73,2.924,10.26,-8.92,13.59536686,,699.7,273.73,2.924,9.51,-8.26,12.59536686,,699.7,273.73,2.924,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
703.5,273.69,2.924,10.26,-8.92,13.59536686,,703.5,273.69,2.924,9.51,-8.26,12.59536686,,703.5,273.69,2.924,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
707.3,273.66,2.924,10.28,-8.9,13.59736739,,707.3,273.66,2.924,9.52,-8.25,12.59736739,,707.3,273.66,2.924,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
711.1,273.53,2.925,10.28,-8.9,13.59736739,,711.1,273.53,2.925,9.52,-8.25,12.59736739,,711.1,273.53,2.925,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
714.9,273.49,2.925,10.28,-8.9,13.59736739,,714.9,273.49,2.925,9.52,-8.25,12.59736739,,714.9,273.49,2.925,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
718.7,273.45,2.925,10.28,-8.9,13.59736739,,718.7,273.45,2.925,9.52,-8.25,12.59736739,,718.7,273.45,2.925,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
722.5,273.32,2.926,10.28,-8.9,13.59736739,,722.5,273.32,2.926,9.52,-8.25,12.59736739,,722.5,273.32,2.926,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
726.3,273.29,2.926,10.28,-8.9,13.59736739,,726.3,273.29,2.926,9.52,-8.25,12.59736739,,726.3,273.29,2.926,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
730.1,273.25,2.926,10.28,-8.9,13.59736739,,730.1,273.25,2.926,9.52,-8.25,12.59736739,,730.1,273.25,2.926,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
733.9,273.12,2.927,10.28,-8.9,13.59736739,,733.9,273.12,2.927,9.52,-8.25,12.59736739,,733.9,273.12,2.927,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
737.7,273.09,2.927,10.28,-8.9,13.59736739,,737.7,273.09,2.927,9.52,-8.25,12.59736739,,737.7,273.09,2.927,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
741.4,273.05,2.927,10.28,-8.9,13.59736739,,741.4,273.05,2.927,9.52,-8.25,12.59736739,,741.4,273.05,2.927,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
744.8,272.92,2.928,10.28,-8.9,13.59736739,,744.8,272.92,2.928,9.52,-8.25,12.59736739,,744.8,272.92,2.928,9.52,-8.25,12.59736739,,0.714053488531138,2.28484494421023
